"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"146","tt0069368","Sun Jan 15 18:38:51 2012","Sun Jan 15 18:38:51 2012","","That Certain Summer","TV Movie","Lamont Johnson","7.8","73","1972","drama","289","1972-11-01","http://www.imdb.com/title/tt0069368/"
"147","tt0339405","Sun Jan 15 18:39:07 2012","Sun Jan 15 18:39:07 2012","","The Victims","TV Movie","Walter Eysselinck","","","1969","drama","0","1969-03-18","http://www.imdb.com/title/tt0339405/"
"148","tt0070710","Sun Jan 15 18:39:42 2012","Sun Jan 15 18:39:42 2012","","Snatched","TV Movie","Sutton Roley","6.4","73","1973","crime, drama, thriller","52","1973-01-31","http://www.imdb.com/title/tt0070710/"
"149","tt0072217","Sun Jan 15 18:39:56 2012","Sun Jan 15 18:39:56 2012","","The Strange and Deadly Occurrence","TV Movie","John Llewellyn Moxey","6.1","78","1974","drama, horror","164","1974-09-24","http://www.imdb.com/title/tt0072217/"
"150","tt0069961","Sun Jan 15 18:40:17 2012","Sun Jan 15 18:40:17 2012","","Deliver Us from Evil","TV Movie","Boris Sagal","7.4","75","1973","crime, drama","102","1973-09-11","http://www.imdb.com/title/tt0069961/"
"151","tt0071372","Sun Jan 15 18:42:03 2012","Sun Jan 15 18:42:03 2012","","Cry Panic","TV Movie","James Goldstone","6.5","74","1974","mystery, thriller","100","1974-02-06","http://www.imdb.com/title/tt0071372/"
"152","tt0071463","Sun Jan 15 18:42:18 2012","Sun Jan 15 18:42:18 2012","","The Elevator","TV Movie","Jerry Jameson","5.0","75","1974","thriller, drama","88","1974-02-09","http://www.imdb.com/title/tt0071463/"
"153","tt0101983","Sun Jan 15 18:44:03 2012","Sun Jan 15 18:44:03 2012","","Guilty as Charged","Feature Film","Sam Irvin","5.5","95","1991","comedy, crime","245","1991-08-01","http://www.imdb.com/title/tt0101983/"
"154","tt0094036","Sun Jan 15 18:44:40 2012","Sun Jan 15 18:44:40 2012","","The Stepford Children","TV Movie","Alan J. Levi","5.3","96","1987","sci_fi, thriller","233","1987-03-15","http://www.imdb.com/title/tt0094036/"
"155","tt0067926","Sun Jan 15 18:45:51 2012","Sun Jan 15 18:45:51 2012","","Vanished","TV Movie","Buzz Kulik","7.7","196","1971","crime, drama, mystery","72","1971-03-08","http://www.imdb.com/title/tt0067926/"
"156","tt0067078","Sun Jan 15 18:46:05 2012","Sun Jan 15 18:46:05 2012","","The Face of Fear","TV Movie","George McCowan","6.3","75","1971","drama, thriller","39","1971-10-08","http://www.imdb.com/title/tt0067078/"
"157","tt0066971","Sun Jan 15 18:46:22 2012","Sun Jan 15 18:46:22 2012","","Dead Men Tell No Tales","TV Movie","Walter Grauman","6.6","75","1971","drama","18","1971-12-17","http://www.imdb.com/title/tt0066971/"
"158","tt0071911","Sun Jan 15 18:47:23 2012","Sun Jan 15 18:47:23 2012","","Nightmare","TV Movie","William Hale","6.1","73","1974","crime, drama, thriller","38","1974-01-08","http://www.imdb.com/title/tt0071911/"
"159","tt0073897","Sun Jan 15 18:48:03 2012","Sun Jan 15 18:48:03 2012","","Who Is the Black Dahlia?","TV Movie","Joseph Pevney","7.3","100","1975","biography, mystery","236","1975-03-01","http://www.imdb.com/title/tt0073897/"
